縣市,鄉鎮市區,測站名稱,測站位置,經度(TWD97),緯度(TWD97),所屬流域,設置單位
臺北市,大同區,大同,臺北市大同區重慶北路三段２號,121.513311,25.0632,淡水河流域,行政院環境保護署
臺北市,北投區,陽明,臺北市北投區竹子湖路１１１號,121.529583,25.182722,淡水河流域,行政院環境保護署
臺北市,北投區,士林,臺北市北投區文林北路１５５號,121.515389,25.105417,淡水河流域,行政院環境保護署
臺北市,中山區,中山,臺北市中山區林森北路５１１號,121.526528,25.062361,淡水河流域,行政院環境保護署
臺北市,萬華區,萬華,臺北市萬華區中華路一段６６號,121.507972,25.046503,淡水河流域,行政院環境保護署
臺北市,大安區,古亭,臺北市大安區羅斯福路三段１５３號,121.529556,25.020608,淡水河流域,行政院環境保護署
臺北市,松山區,松山,臺北市松山區八德路四段７４６號,121.578611,25.05,淡水河流域,行政院環境保護署
臺北市, ,鞍部,北投區陽明山竹子湖路１１１號,121.52,25.1863888889,-,中央氣象局
臺北市, ,臺北,中正區公園路６４號,121.506666667,25.0394444444,-,中央氣象局
臺北市, ,竹子湖,北投區陽明山竹子湖路２號,121.536388889,25.165,-,中央氣象局
臺北市,北投區,士林,臺北市北投區文林北路１５５號,121.515389,25.105417,淡水河流域,行政院環境保護署
臺北市,中山區,中山,臺北市中山區林森北路５１１號,121.526528,25.062361,淡水河流域,行政院環境保護署
臺北市,萬華區,萬華,臺北市萬華區中華路一段６６號,121.507972,25.046503,淡水河流域,行政院環境保護署
臺北市,松山區,松山,臺北市松山區八德路四段７４６號,121.578611,25.05,淡水河流域,行政院環境保護署
臺北市,大同區,大同,臺北市大同區重慶北路三段２號,121.513311,25.0632,淡水河流域,行政院環境保護署
臺北市,北投區,陽明,臺北市北投區竹子湖路１１１號,121.529583,25.182722,淡水河流域,行政院環境保護署
臺北市,士林區,社子,士林區延平北路九段２１２號(台北海洋技術學院內),121.461388889,25.1113888889,淡水河流域,中央氣象局
臺北市,中山區,大直,中山區北安路４２０號(大直高中內),121.534722222,25.0797222222,淡水河流域,中央氣象局
臺北市,北投區,石牌,北投區石牌路一段１３９號(石牌國中內),121.505888889,25.1175833333,淡水河流域,中央氣象局
臺北市,士林區,天母,士林區天母東路１１６號(３玉國小內),121.528888889,25.1194444444,淡水河流域,中央氣象局
臺北市,士林區,士林,士林區延平北路六段３０８號(社子國小內),121.495,25.0922222222,淡水河流域,中央氣象局
臺北市,內湖區,內湖,內湖區內湖路一段５２０號(內湖高工內),121.565555556,25.0811111111,淡水河流域,中央氣象局
臺北市,南港區,南港,南港區興南路６２號(東新國小內),121.594722222,25.0575,淡水河流域,中央氣象局
臺北市,北投區,大屯山,北投區湖田段４６１-６地號(民航局大屯山助航臺),121.514166667,25.1773333333,淡水河流域,中央氣象局
臺北市,信義區,信義,信義區市府路１號(台北市政府頂樓),121.556111111,25.0394444444,淡水河流域,中央氣象局
臺北市,文山區,文山,文山區木柵路四段１５９巷１４-１號(博嘉國小校園內),121.567527778,25.0040833333,淡水河流域,中央氣象局
臺北市, ,松山,松山區敦化北路１號(臺北市松山運動中心),121.542202778,25.0504916667,-,中央氣象局
臺北市,大安區,公館,大安區羅斯福路四段１號(臺灣大學大氣科學系觀測坪內),121.531305556,25.0161666667,淡水河流域,中央氣象局
臺北市,北投區,關渡,北投區學園路２號(臺北城市科技大學校園內５樓頂),121.461194444,25.1352777778,淡水河流域,中央氣象局
新北市,三重區,三重,新北市三重區三和路與重陽路交口,121.493806,25.072611,淡水河流域,行政院環境保護署
新北市,永和區,永和,新北市永和區永和路與光復路交口,121.516306,25.017,淡水河流域,行政院環境保護署
新北市,汐止區,汐止,新北市汐止區樟樹一路１３７巷２６號,121.6408,25.065669,淡水河流域,行政院環境保護署
新北市,萬里區,萬里,新北市萬里區瑪鋉路２２１號,121.689881,25.179667,-,行政院環境保護署
新北市,新店區,新店,新北市新店區民族路１０８號,121.537778,24.977222,淡水河流域,行政院環境保護署
新北市,土城區,土城,新北市土城區學府路一段２４１號,121.451861,24.982528,淡水河流域,行政院環境保護署
新北市,板橋區,板橋,新北市板橋區文化路一段２５號,121.458667,25.012972,淡水河流域,行政院環境保護署
新北市,新莊區,新莊,新北市新莊區中正路５１０號,121.4325,25.037972,淡水河流域,行政院環境保護署
新北市,三重區,菜寮,新北市三重區中正北路１６３號,121.481028,25.06895,淡水河流域,行政院環境保護署
新北市,林口區,林口,新北市林口區文化北路一段４２５號,121.365703,25.07857,-,行政院環境保護署
新北市,淡水區,淡水,新北市淡水區中正東路４２巷６號,121.449239,25.1645,淡水河流域,行政院環境保護署
新北市, ,板橋,板橋區大觀路二段２６５巷６２號,121.433888889,24.9994444444,-,中央氣象局
新北市, ,淡水,淡水區中正東路４２巷６號,121.44,25.1655555556,-,中央氣象局
新北市,汐止區,汐止,新北市汐止區樟樹一路１４１巷２號,121.6423,25.067131,淡水河流域,行政院環境保護署
新北市,萬里區,萬里,新北市萬里區瑪鋉路２２１號,121.689881,25.179667,-,行政院環境保護署
新北市,新店區,新店,新北市新店區民族路１０８號,121.537778,24.977222,淡水河流域,行政院環境保護署
新北市,土城區,土城,新北市土城區學府路一段２４１號,121.451861,24.982528,淡水河流域,行政院環境保護署
新北市,板橋區,板橋,新北市板橋區文化路一段２５號,121.458667,25.012972,淡水河流域,行政院環境保護署
新北市,新莊區,新莊,新北市新莊區中正路５１０號,121.4325,25.037972,淡水河流域,行政院環境保護署
新北市,三重區,菜寮,新北市三重區中正北路１６３號,121.481028,25.06895,淡水河流域,行政院環境保護署
新北市,林口區,林口,新北市林口區民治路２５號,121.376869,25.077197,-,
