ObservatoryIdentifier,ObservatoryName,LocationAddress,EnglishAddress,BasinIdentifier,CountyIdentifier,TownIdentifier,LocationXByTWD97,LocationXByTWD97,Elevation,DisuseStatus,Remarks,AgencyNameOfSite,Village,AffiliatedSubsidiaryBasin,AffiliatedSubSubsidiaryBasin,EquipementStatus,TransmissionEquipment
"001AD9","覽勝橋","新北市烏來區","Wulai Dist., New Taipei City","1140","4","6502900","305713.00","2750575.00","120.9","現存","","","","114020","114021","自記式","是"
"001AE0","大林橋","新北市坪林區","Pinglin Dist., New Taipei City","1140","4","6502000","321244.00","2758468.00","181.9","現存","","","","114020","114022","自記式","是"
"001AE1","屈尺堰","新北市新店區","Quchi Weir, Xindian Dist., New Taipei City","1140","4","6500600","305301.00","2756485.00","60.2","現存","","","","114020","","自記式","是"
"001AE2","思源橋","新北市坪林區","Pinglin Dist., New Taipei City","1140","4","6502000","327648.00","2761763.00","269.4","現存","","","","114020","114022","自記式","是"
"00A130","石碇(2)","新北市石碇區潭邊里石崁路25號(石碇區公所)","No.25, Shikan, Shiding Dist., New Taipei City","1140","4","6501900","316413.18","2765004.99","250.00","現存","","","","","","","是"
"00H710","集集(2)","南投縣集集鎮林尾里公館巷3號","No.3, Gongguan Ln., Jiji Township, Nantou County","1510","10","1000805","227066.45","2635803.06","215.00","現存","","公有地","林尾里","151010","151011","自記式","是"
"00H810","惠蓀(2)","南投縣仁愛鄉新生村山林巷1號(中興大學惠蓀林場)","No.1, Shanlin Ln., Ren’Ai Township, Nantou County","1430","10","1000813","253276.00","2665072.00","684","現存","","中興大學惠蓀林場","新生村","143010","143011","自記式","是"
"00Q070","屏東(5)","屏東縣屏東市建國路291號(第七河川局)","No.291, Jianguo Rd., Pingtung City, Pingtung County 900, Taiwan (R.O.C.)","1730","11","1001301","195156.92","2506166.62","25.00","現存","","第七河川局","清溪里","173010","173011","自記式","是"
"01A160","林口(1)","新北市林口區民治路25號","No.25, Minzhi Rd., Linkou Dist., New Taipei City","1170","4","6501700","288016.42","2774382.76","250.00","現存","","林口國中","","","","自記式","是"
"01A190","碧湖","新北市坪林區石曹里碧湖路7號(左前方)","No.7, Bihu, Pinglin Dist., New Taipei City","1140","4","6502000","325324.97","2753895.58","360.00","現存","","","","","","","是"
"01A200","火燒寮","新北市平溪區東勢里番子坑34-2號(民宅頂樓)","No.34-2, Fanzikeng, Pingxi Dist., New Taipei City","1140","4","6502400","325645.29","2763887.43","380.00","現存","","","","","","","是"
"01A210","大豹","新北市三峽區插角里","Chajiao, Sanxia Dist., New Taipei City","1140","4","6500900","292574.12","2753355.88","600.00","現存","","","","","","","是"
"01A220","三峽","新北市三峽區鳶山里中山路551號(板新給水廠)","No.551, Zhongshan Rd., Sanxia Dist., New Taipei City","1140","4","6500900","285908.30","2759054.37","33.00","現存","","","","","","","是"
"01A350","富貴角","新北市石門區老梅里老梅路10號(老梅國小停車場邊)","No.10, Laomei Rd., Shimen Dist., New Taipei City","1010","4","6502200","304870.96","2797842.55","15.00","現存","","","","","","","是"
"01A380","瑞芳(2)","新北市瑞芳區龍山里瑞芳街60號(瑞芳高工莊敬樓屋板上)","No.60, Ruifang St., Ruifang Dist., New Taipei City","1140","4","6501200","331016.94","2778238.76","101.00","現存","","","","","","","是"
"01A410","中正橋","臺北市中正區水源路中正橋(靠臺北市堤防)","Zhongzheng Bridge,Shuiyuan Rd., Zhongzheng Dist., Taipei City","1140","3","6300500","302118.67","2768304.96","5.00","現存","","","","","","","是"
"01A420","竹子湖(2)","台北市北投區陽明山竹子湖路2號","No.2, Zhuzihu Rd., Shilin Dist., Taipei City","1140","3","6301200","304865.06","2783864.92","605.00","現存","","","","","","自記式","是"
"01A430","福山(3)","新北市烏來區大羅蘭里","Daluolan, Wulai Dist., New Taipei City","1140","4","6502900","300295.23","2741477.94","500.00","現存","","","","","","","是"
"01A440","大桶山","新北市烏來區忠治里(大桶山)","Datun Mountain,Wulai Dist., New Taipei City","1140","4","6502900","306887.43","2752184.01","916.00","現存","","","","","","","是"
